STATION,NAME,DATE,TAVG,TMAX,TMIN
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",02/05/46,,32,31
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",02/06/46,,52,32
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",02/07/46,,47,32
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",02/08/46,,50,29
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",02/09/46,,46,39
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",02/10/46,,46,29
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",02/11/46,,41,24
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",02/12/46,,45,24
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",02/13/46,,57,35
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",02/14/46,,67,33
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",02/15/46,,34,19
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",02/16/46,,48,21
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",02/17/46,,61,39
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",02/18/46,,52,34
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",02/19/46,,39,30
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",02/20/46,,44,35
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",02/21/46,,40,28
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",02/22/46,,48,32
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",02/23/46,,53,36
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",02/24/46,,39,35
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",02/25/46,,41,26
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",02/26/46,,72,35
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",02/27/46,,71,45
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",02/28/46,,46,35
